SCF #,SCF AO #,"SCF Assessment Objective (AO)
In addition to relevant policies, standards and procedures, the assessor shall examine, interview, and/or test to determine if appropriately scoped evidence exists to support the claim that:","PPTDF
Applicability",SCF Assessment Objective (AO) Origin(s),Notes / Errata,"Assessment
Rigor (AR)",SCF Defined Parameters (SDP),Organization Defined Parameters (ODP),"CMMC Level 1
AOs","NIST
800-53A","NIST
800-171A","NIST
800-171A R3","NIST
800-172A","Asset Type
examine/interview/test",Assessment Procedure,Expected Result(s),"Assessment Status
met / not met / not tested / an","Inherited
y/n",Assessment Frequency,Last Date Assessed,Assessment Performed By
MON-11.3,MON-11.3_A20,threat indicator information and effective mitigations obtained from external organizations are used to guide and inform intrusion detection and threat hunting.,Technology,"172A_3.14.6e[e]
172A_3.14.6e_ODP[1]",,3,,,,,,,x,,,,,,,,
MON-12,MON-12_A01,"user session auditing practices are defined (e.g., record, view, hear or log).",Process,53A_R5_AU-14_ODP[02],,1,,,,x,,,,,,,,,,,
MON-12,MON-12_A02,users or roles who can audit the content of a user session are defined.,Process,53A_R5_AU-14_ODP[01],,1,,,,x,,,,,,,,,,,
MON-12,MON-12_A03,circumstances under which the content of a user session can be audited are defined.,Process,53A_R5_AU-14_ODP[03],,1,,,,x,,,,,,,,,,,
MON-12,MON-12_A04,designated users or roles are provided with the capability to audit the content of a user session under organization-defined circumstances.,Process,53A_R5_AU-14a.[01],,1,,,,x,,,,,,,,,,,
MON-12,MON-12_A05,the capability for organization's the content of a user session under organization-defined circumstances is implemented.,Technology,53A_R5_AU-14a.[02],,3,,,,x,,,,,,,,,,,
MON-12,MON-12_A06,"session auditing activities are developed in consultation with legal counsel and in accordance with applicable laws, executive orders, directives, regulations, policies, standards and guidelines.",Process,53A_R5_AU-14b.[01],,3,,,,x,,,,,,,,,,,
MON-12,MON-12_A07,"session auditing activities are integrated in consultation with legal counsel and in accordance with applicable laws, executive orders, directives, regulations, policies, standards and guidelines.",Process,53A_R5_AU-14b.[02],,3,,,,x,,,,,,,,,,,
MON-12,MON-12_A08,"session auditing activities are used in consultation with legal counsel and in accordance with applicable laws, executive orders, directives, regulations, policies, standards and guidelines.",Process,53A_R5_AU-14b.[03],,3,,,,x,,,,,,,,,,,
MON-13,MON-13_A01,an alternate event logging functionality in the event of a failure in primary event logging capability is defined.,Process,53A_R5_AU-05(05)_ODP,,1,,,,x,,,,,,,,,,,
MON-13,MON-13_A02,an alternate event logging capability is provided in the event of a failure in primary event logging capability that implements organization-defined alternate event logging functionality.,Technology,53A_R5_AU-05(05),,1,,,,x,,,,,,,,,,,
MON-14,MON-14_A01,methods for coordinating audit information among external organizations when audit information is transmitted across organizational boundaries are defined.,Process,53A_R5_AU-16_ODP[01],,1,,,,x,,,,,,,,,,,
MON-14,MON-14_A02,audit information to be coordinated among external organizations when audit information is transmitted across organizational boundaries is defined.,Process,53A_R5_AU-16_ODP[02],,1,,,,x,,,,,,,,,,,
MON-14,MON-14_A03,organization-defined methods for coordinating audit information among external organizations when audit information is transmitted across organizational boundaries are employed.,Technology,53A_R5_AU-16,,1,,,,x,,,,,,,,,,,
MON-14.1,MON-14.1_A01,organizations with which cross-organizational audit information is to be shared are defined.,Process,53A_R5_AU-16(02)_ODP[01],,1,,,,x,,,,,,,,,,,
MON-14.1,MON-14.1_A02,cross-organizational sharing agreements to be used when providing cross-organizational audit information to organizations are defined.,Process,53A_R5_AU-16(02)_ODP[02],,1,,,,x,,,,,,,,,,,
MON-14.1,MON-14.1_A03,cross-organizational audit information is provided to organization-defined organizations based on organization-defined cross-organizational sharing agreements.,Technology,53A_R5_AU-16(02),,1,,,,x,,,,,,,,,,,
MON-15,MON-15_A01,"a covert channel analysis is performed to identify those aspects of communications within the system that are potential avenues for covert channels (e.g., storage and/or timing).",Technology,"53A_R5_SC-31a.
53A_R5_SC-31_ODP",,1,,,,x,,,,,,,,,,,
MON-15,MON-15_A02,the maximum bandwidth of those channels is estimated.,Technology,53A_R5_SC-31b.,,1,,,,x,,,,,,,,,,,
MON-16,MON-16_A01,environments or resources which may contain or may be related to anomalous or suspected adversarial behavior are defined.,Process,"53A_R5_SI-04(11)_ODP
53A_R5_IR-04(13)_ODP",,1,,,,x,,,,,,,,,,,
MON-16,MON-16_A02,systems are monitored to detect unauthorized local connections.,Technology,53A_R5_SI-04a.02[01],,1,,,,x,,,,,,,,,,,
MON-16,MON-16_A03,systems are monitored to detect unauthorized network connections.,Technology,53A_R5_SI-04a.02[02],,1,,,,x,,,,,,,,,,,
MON-16,MON-16_A04,systems are monitored to detect unauthorized remote connections.,Technology,53A_R5_SI-04a.02[03],,1,,,,x,,,,,,,,,,,
MON-16,MON-16_A05,outbound communications traffic at the external interfaces to the system is analyzed to discover anomalies.,Technology,53A_R5_SI-04(11)[01],,1,,,,x,,,,,,,,,,,
MON-16,MON-16_A06,outbound communications traffic at interior points is analyzed to discover anomalies.,Technology,53A_R5_SI-04(11)[02],,1,,,,x,,,,,,,,,,,
MON-16,MON-16_A07,anomalous or suspected adversarial behavior in or related to organization-defined environments or resources are analyzed.,Technology,"53A_R5_IR-04(13)
53A_R5_SI-04d.[01]
53A_R5_SI-04d.[02]",,1,,,,x,,,,,,,,,,,
MON-16,MON-16_A08,unauthorized use of the system is identified.,Process,171A_R3_A.03.14.06.b,,1,,,,,,x,,,,,,,,,
MON-16,MON-16_A09,anomalous or suspicious behavior is defined.,Process,"172A_3.14.2e[a]
53A_R5_AC-02(12)_ODP[01]",,1,,,,x,,,x,,,,,,,,
MON-16,MON-16_A10,personnel or roles to report atypical usage is/are defined.,Process,53A_R5_AC-02(12)_ODP[02],,1,"at a minimum, the organization's cybersecurity team and/or similar role within the organization",,,x,,,,,,,,,,,
MON-16,MON-16_A11,atypical usage of system accounts is reported to organization-defined personnel or roles.,Technology,"53A_R5_AC-02(12)(b)
53A_R5_SI-04g.",,1,"at a minimum, the organization's cybersecurity team and/or similar role within the organization",,,x,,,,,,,,,,,
MON-16,MON-16_A12,organizational systems and system components are monitored on an ongoing basis for anomalous or suspicious behavior.,Technology,"172A_3.14.2e[b]
53A_R5_AC-02(12)(a)
53A_R5_SI-04a.01",,3,,,,x,,,x,,,,,,,,
MON-16.1,MON-16.1_A01,a legal opinion regarding insider threat monitoring is obtained.,Process,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.1,MON-16.1_A02,monitoring activities for insider threats is defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.1,MON-16.1_A03,organization-defined mechanisms are employed to monitor internal personnel activity for potential security incidents.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.2,MON-16.2_A01,a legal opinion regarding third-party threat monitoring is obtained.,Process,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.2,MON-16.2_A02,monitoring activities for third-party threats is defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.2,MON-16.2_A03,organization-defined mechanisms are employed to monitor third-party activities for potential security incidents.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.3,MON-16.3_A01,unauthorized activities are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.3,MON-16.3_A02,personnel or roles to be notified when unauthorized activities are detected is/are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.3,MON-16.3_A03,methods to detect unauthorized activities are identified.,Process,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.3,MON-16.3_A04,monitoring mechanisms are configured to detect unauthorized activities.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.3,MON-16.3_A05,personnel or roles are notified when unauthorized activities are detected.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
MON-16.4,MON-16.4_A01,an automated mechanism generates event logs for permissions changes to privileged accounts and/or groups.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
MON-17,MON-17_A01,analysis and triage capabilities for event log review processes are defined.,Process,SCF Created,,3,,,,,,,,,,,,,,,
MON-17,MON-17_A02,analysis and triage capabilities are integrated into event log review processes that support the organization's governance and incident response functions.,Process,SCF Created,,3,,,,,,,,,,,,,,,
MON-17.1,MON-17.1_A01,an escalation matrix that is specific to the organization's unique monitoring practices is developed and maintained.,Process,SCF Created,,3,,,,,,,,,,,,,,,
MON-18,MON-18_A01,"automated tools are used to monitor sensitive/regulated data in Assets, Applications & Services (AAS).",Data,SCF Created,,1,,,,,,,,,,,,,,,
MON-18,MON-18_A02,automated tools are used to monitor sensitive/regulated data in data repositories.,Data,SCF Created,,1,,,,,,,,,,,,,,,
MON-19,MON-19_A01,"Technology Assets, Applications and/or Services (TAAS) that require hardware-enforced, write-once media (e.g., Write Once Read Many (WORM) technologies) are identified.",Process,,,1,,,,,,,,,,,,,,,
MON-19,MON-19_A02,"hardware-enforced, write-once media technologies are identified.",Process,,,1,,,,,,,,,,,,,,,
MON-19,MON-19_A03,"hardware-enforced, write-once media technologies are implemented, where required.",Technology,,,1,,,,,,,,,,,,,,,
NET-01,NET-01_A01,system and communications protection procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls are developed and documented.,Process,53A_R5_SC-01a.[03],,1,,,,x,,,,,,,,,,,
NET-01,NET-01_A02,personnel or roles to whom the system and communications protection policy is to be disseminated is/are defined.,Process,53A_R5_SC-01_ODP[01],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A03,personnel or roles to whom the system and communications protection procedures are to be disseminated is/are defined.,Process,53A_R5_SC-01_ODP[02],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A04,an official to manage the system and communications protection policy and procedures is defined.,People,"53A_R5_SC-01_ODP[03]
53A_R5_SC-01_ODP[04]",,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A05,the frequency at which the current system and communications protection policy is reviewed / updated is defined.,Process,53A_R5_SC-01_ODP[05],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A06,events that would require the current system and communications protection policy to be reviewed / updated are defined.,Process,53A_R5_SC-01_ODP[06],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A07,the frequency at which the current system and communications protection procedures are reviewed / updated is defined.,Process,53A_R5_SC-01_ODP[07],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A08,events that would require the system and communications protection procedures to be reviewed / updated are defined.,Process,53A_R5_SC-01_ODP[08],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A09,a system and communications protection policy is developed and documented.,Process,53A_R5_SC-01a.[01],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A10,the system and communications protection policy is disseminated to organization-defined personnel or roles.,Technology,53A_R5_SC-01a.[02],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A11,the system and communications protection procedures are disseminated to organization-defined personnel or roles.,Process,53A_R5_SC-01a.[04],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A12,the organization's system and communications protection policy addresses purpose.,Process,53A_R5_SC-01a.01(a)[01],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A13,the organization's system and communications protection policy addresses scope.,Process,53A_R5_SC-01a.01(a)[02],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A14,the organization's system and communications protection policy addresses roles.,Process,53A_R5_SC-01a.01(a)[03],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A15,the organization's system and communications protection policy addresses responsibilities.,Process,53A_R5_SC-01a.01(a)[04],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A16,the organization's system and communications protection policy addresses management commitment.,Process,53A_R5_SC-01a.01(a)[05],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A17,the organization's system and communications protection policy addresses coordination among organizational entities.,Process,53A_R5_SC-01a.01(a)[06],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A18,the organization's system and communications protection policy addresses compliance.,Process,53A_R5_SC-01a.01(a)[07],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A19,"the organization's system and communications protection policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines.",Process,53A_R5_SC-01a.01(b),,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A20,"the organization-defined official is designated to manage the development, documentation, and dissemination of the system and communications protection policy and procedures.",Process,53A_R5_SC-01b.,,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A21,the current system and communications protection policy is reviewed / updated organization-defined frequency.,Process,53A_R5_SC-01c.01[01],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A22,the current system and communications protection policy is reviewed / updated following organization-defined events.,Technology,53A_R5_SC-01c.01[02],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A23,the current system and communications protection procedures are reviewed / updated organization-defined frequency.,Process,53A_R5_SC-01c.02[01],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A24,the current system and communications protection procedures are reviewed / updated following organization-defined events.,Process,53A_R5_SC-01c.02[02],,3,,,,x,,,,,,,,,,,
NET-01,NET-01_A25,"network security management operations are conducted according to documented policies, standards, procedures and/or other organizational directives.",Process,SCF Created,,1,,,,,,,,,,,,,,,
NET-01,NET-01_A26,"adequate resources (e.g., people, processes, technologies, data and/or facilities) are provided to support network security management operations.",Process,SCF Created,,1,,,,,,,,,,,,,,,
NET-01,NET-01_A27,responsibility and authority for the performance of network security management-related activities are assigned to designated personnel.,People,SCF Created,,1,,,,,,,,,,,,,,,
NET-01,NET-01_A28,personnel performing network security management-related activities have the skills and knowledge needed to perform their assigned duties.,People,SCF Created,,2,,,,,,,,,,,,,,,
NET-01.1,NET-01.1_A01,all users are treated as potential threats and prevent access to data and resources until the user can be properly authenticated and their access authorized.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
NET-01.1,NET-01.1_A02,all devices are treated as potential threats and prevent access to data and resources until the device can be properly authenticated and its access authorized.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
NET-02,NET-02_A01,security functions are implemented as a layered structure that minimizes interactions between layers of the design and avoiding any dependence by lower layers on the functionality or correctness of higher layers.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
NET-02.1,NET-02.1_A01,types of denial-of-service events to be protected against or limited are defined.,Process,"53A_R5_SC-05_ODP[01]
53A_R5_SC-05(01)_ODP",,1,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A02,resource prioritization is designed to limit negative effects of denial-of-service events.,Technology,53A_R5_SC-05_ODP[02],,1,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A03,controls to achieve the denial-of-service objective by type of denial-of-service event are defined.,Process,53A_R5_SC-05_ODP[03],,1,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A04,controls by type of denial-of-service event are employed to achieve the denial-of-service protection objective.,Technology,53A_R5_SC-05b.,,1,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A05,the ability of individuals to launch denial-of-service attacks against other systems is restricted.,Technology,53A_R5_SC-05(01),,3,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A06,the effects of types of denial-of-service events are organizationally-defined.,Technology,53A_R5_SC-05a.,,3,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A07,"capacity, bandwidth or other redundancies to limit the effects of information flooding denial-of-service attacks are managed.",Technology,53A_R5_SC-05(02),,3,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A08,monitoring tools for detecting indicators of denial-of-service attacks are defined.,Process,53A_R5_SC-05(03)_ODP[01],,3,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A09,system resources to be monitored to determine if sufficient resources exist to prevent effective denial-of-service attacks are defined.,Process,53A_R5_SC-05(03)_ODP[02],,3,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A10,monitoring tools are employed to detect indicators of denial-of-service attacks against or launched from the system.,Technology,53A_R5_SC-05(03)(a),,3,,,,x,,,,,,,,,,,
NET-02.1,NET-02.1_A11,system resources are monitored to determine if sufficient resources exist to prevent effective denial-of-service attacks.,Technology,53A_R5_SC-05(03)(b),,3,,,,x,,,,,,,,,,,
NET-02.2,NET-02.2_A01,a secure guest network is defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
NET-02.2,NET-02.2_A02,a secure guest network is implemented,Technology,SCF Created,,1,,,,,,,,,,,,,,,
NET-02.2,NET-02.2_A03,each type of wireless access to the system is defined.,Process,171A_R3_A.03.01.16.a[01],,2,,,,,,x,,,,,,,,,
NET-02.2,NET-02.2_A04,usage restrictions are established for each type of wireless access to the system.,Technology,171A_R3_A.03.01.16.a[02],,2,,,,,,x,,,,,,,,,
NET-02.2,NET-02.2_A05,connection requirements are established for each type of wireless access to the system.,Technology,171A_R3_A.03.01.16.a[04],,2,,,,,,x,,,,,,,,,
NET-02.2,NET-02.2_A06,each type of wireless access to the system is authorized prior to establishing such connections.,Technology,171A_R3_A.03.01.16.b,,2,,,,,,x,,,,,,,,,
NET-02.3,NET-02.3_A01,a Cross Domain Solution (CDS) is implemented to mitigate the specific security risks of accessing or transferring information between security domains.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
NET-03,NET-03_A01,the external system boundary is defined.,Process,171A_3.13.1[a],,1,,,SC.L1-B.1.X[a],,x,,,,,,,,,,
NET-03,NET-03_A02,key internal system boundaries are defined.,Process,171A_3.13.1[b],,1,,,SC.L1-B.1.X[b],,x,,,,,,,,,,
NET-03,NET-03_A03,communications are protected at the external system boundary.,Technology,171A_3.13.1[g],,1,,,SC.L1-B.1.X[g],,x,,,,,,,,,,
NET-03,NET-03_A04,communications are protected at key internal boundaries.,Technology,171A_3.13.1[h],,1,,,SC.L1-B.1.X[h],,x,,,,,,,,,,
NET-03,NET-03_A05,communications are monitored at the external system boundary.,Technology,"53A_R5_SC-07_ODP
53A_R5_SC-07a.[01]
171A_3.13.1[c]",,1,,,SC.L1-B.1.X[c],x,x,,,,,,,,,,
NET-03,NET-03_A06,communications are controlled at the external system boundary.,Technology,"53A_R5_SC-07_ODP
53A_R5_SC-07a.[02]
171A_3.13.1[e]",,1,,,SC.L1-B.1.X[e],x,x,,,,,,,,,,
NET-03,NET-03_A07,communications are monitored at key internal boundaries.,Technology,"53A_R5_SC-07a.[03]
171A_3.13.1[d]",,1,,,SC.L1-B.1.X[d],x,x,,,,,,,,,,
NET-03,NET-03_A08,communications are controlled at key internal boundaries.,Technology,"53A_R5_SC-07a.[04]
171A_3.13.1[f]",,1,,,SC.L1-B.1.X[f],x,x,,,,,,,,,,
NET-03,NET-03_A09,subnetworks for publicly accessible system components are selected per organization-defined values separated from internal organizational networks.,Technology,53A_R5_SC-07b.,,3,,,,x,,,,,,,,,,,
NET-03,NET-03_A10,external networks or systems are only connected to through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational cybersecurity / data privacy architecture.,Technology,53A_R5_SC-07c.,,3,,,,x,,,,,,,,,,,
NET-03,NET-03_A11,outgoing communications traffic posing a threat to external systems is detected.,Technology,53A_R5_SC-07(09)(a)[01],,3,,,,x,,,,,,,,,,,
NET-03,NET-03_A12,outgoing communications traffic posing a threat to external systems is denied.,Technology,53A_R5_SC-07(09)(a)[02],,3,,,,x,,,,,,,,,,,
NET-03,NET-03_A13,the identity of internal users associated with denied communications is audited.,Technology,53A_R5_SC-07(09)(b),,3,,,,x,,,,,,,,,,,
NET-03,NET-03_A14,authorized sources of incoming communications to be routed are defined.,Process,53A_R5_SC-07(11)_ODP[01],,3,,,,x,,,,,,,,,,,
NET-03,NET-03_A15,authorized destinations to which incoming communications from authorized sources may be routed are defined.,Process,53A_R5_SC-07(11)_ODP[02],,3,,,,x,,,,,,,,,,,
NET-03,NET-03_A16,only incoming communications from authorized sources are allowed to be routed to authorized destinations.,Technology,53A_R5_SC-07(11),,3,,,,x,,,,,,,,,,,
NET-03,NET-03_A17,one or more of the following is/are selected: physical isolation techniques. logical isolation techniques.,Technology,172A_3.13.4e_ODP[1],,3,,,,,,,x,,,,,,,,
NET-03,NET-03_A18,physical isolation techniques are defined.,Process,172A_3.13.4e_ODP[2],,3,,,,,,,x,,,,,,,,
NET-03,NET-03_A19,logical isolation techniques are defined.,Process,172A_3.13.4e_ODP[3],,3,,,,,,,x,,,,,,,,
NET-03,NET-03_A20,physical isolation techniques and/or organization-defined logical isolation techniques are employed in organizational systems and system components.,Technology,172A_3.13.4e[a],,3,,,,,,,x,,,,,,,,
NET-03,NET-03_A21,connection requirements are established for mobile devices.,Technology,171A_R3_A.03.01.18.a[03],,2,,,,,,x,,,,,,,,,
